name,email,nim,angkatan
Faris Aditya,i0525001@student.uns.ac.id,I0525001,2025
Zaki Prasetyo,i0525002@student.uns.ac.id,I0525002,2025
Chandra Rahayu,i0525003@student.uns.ac.id,I0525003,2025
Ilham Nina Budiman,i0525004@student.uns.ac.id,I0525004,2025
Umi Eka Wibowo,i0525005@student.uns.ac.id,I0525005,2025
Dian Cahyani,i0525006@student.uns.ac.id,I0525006,2025
Gita Maya Utomo,i0525007@student.uns.ac.id,I0525007,2025
Putri Pratama,i0525008@student.uns.ac.id,I0525008,2025
Rini Wibowo,i0525009@student.uns.ac.id,I0525009,2025
Prasetyo Handoko,i0525010@student.uns.ac.id,I0525010,2025
Arif Irawan,i0525011@student.uns.ac.id,I0525011,2025
Umar Ramadhan,i0525012@student.uns.ac.id,I0525012,2025
Arif Susanto,i0525013@student.uns.ac.id,I0525013,2025
Oscar Wibowo,i0525014@student.uns.ac.id,I0525014,2025
Vina Santoso,i0525015@student.uns.ac.id,I0525015,2025
Utami Harahap,i0525016@student.uns.ac.id,I0525016,2025
Cahya Budi Setiawan,i0525017@student.uns.ac.id,I0525017,2025
Surya Handoko,i0525018@student.uns.ac.id,I0525018,2025
Cahya Ramadhan,i0525019@student.uns.ac.id,I0525019,2025
Fitri Rani Mulyadi,i0525020@student.uns.ac.id,I0525020,2025
Zaki Budiman,i0525021@student.uns.ac.id,I0525021,2025
Zulfan Winda Gunawan,i0525022@student.uns.ac.id,I0525022,2025
Laila Darmawan,i0525023@student.uns.ac.id,I0525023,2025
Nina Hadi Sari,i0525024@student.uns.ac.id,I0525024,2025
Agus Kusuma,i0525025@student.uns.ac.id,I0525025,2025
Olivia Nur Safitri,i0525026@student.uns.ac.id,I0525026,2025
Galih Oscar Suryanto,i0525027@student.uns.ac.id,I0525027,2025
Dewi Dewi Andriani,i0525028@student.uns.ac.id,I0525028,2025
Hana Yoga Saputra,i0525029@student.uns.ac.id,I0525029,2025
Kartika Permana,i0525030@student.uns.ac.id,I0525030,2025
Tari Hendra Harahap,i0525031@student.uns.ac.id,I0525031,2025
Oscar Yoga Cahyani,i0525032@student.uns.ac.id,I0525032,2025
Zaki Mulyadi,i0525033@student.uns.ac.id,I0525033,2025
Lestari Permana,i0525034@student.uns.ac.id,I0525034,2025
Dewi Andriani,i0525035@student.uns.ac.id,I0525035,2025
Zaki Hana Nurfadilah,i0525036@student.uns.ac.id,I0525036,2025
Faris Prabowo,i0525037@student.uns.ac.id,I0525037,2025
Dian Saputri,i0525038@student.uns.ac.id,I0525038,2025
Fauzi Kartika Wibowo,i0525039@student.uns.ac.id,I0525039,2025
Oscar Wahyu Prihatin,i0525040@student.uns.ac.id,I0525040,2025
Jaya Setiawan,i0525041@student.uns.ac.id,I0525041,2025
Nur Fitri Wibowo,i0525042@student.uns.ac.id,I0525042,2025
Bayu Eka Maulana,i0525043@student.uns.ac.id,I0525043,2025
Wahyu Prasetyo,i0525044@student.uns.ac.id,I0525044,2025
Irma Wati Pratama,i0525045@student.uns.ac.id,I0525045,2025
Indah Maulana,i0525046@student.uns.ac.id,I0525046,2025
Gita Utami Sari,i0525047@student.uns.ac.id,I0525047,2025
Maulana Aditya,i0525048@student.uns.ac.id,I0525048,2025
Yoga Saputra,i0525049@student.uns.ac.id,I0525049,2025
Arif Umi Aditya,i0525050@student.uns.ac.id,I0525050,2025
